Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
Life Itself,Movie,2018-9-21,7020,Drama,,21,6.9,23084,tt5989218,10000000,7997774
The Sisters Brothers,Movie,2018-10-19,7320,Drama,,78,6.9,67010,tt4971344,38000000,13143056
Assassination Nation,Movie,2018-9-21,6480,Action,,56,6.0,20562,tt6205872,7000000,2584988
Little Italy,Movie,2018-9-21,6120,Comedy,,28,5.7,16098,tt6957966,8000000,1362536
Colette,Movie,2019-1-9,6660,Biography,,74,6.7,24897,tt5437928,,14273033
Fahrenheit 11/9,Movie,2018-9-21,7680,Documentary,,69,7.1,19873,tt8632862,5000000,6674168
My Son,Movie,2021-9-15,5700,Crime,,,6.0,13105,tt13234058,,962689
"Love, Gilda",Movie,2018-9-21,5280,Documentary,2,74,7.4,1698,tt5424228,,626318
My Hero Academia: Two Heroes,Movie,2018-9-25,5760,Animation,,,7.3,11366,tt7745068,,21022724
Smallfoot,Movie,2018-9-28,5760,Animation,,60,6.6,41041,tt6182908,80000000,214115531
Night School,Movie,2018-9-28,6660,Comedy,,43,5.6,42122,tt6781982,29000000,103105878
The Old Man,TV Series,2022-6-16,3660,Action,,,7.6,42235,tt5645432,,
Hell Fest,Movie,2018-9-28,5340,Horror,,26,5.5,18030,tt1999890,5500000,18160930
Power of the Air,Movie,2018-10-2,5400,Drama,,,6.9,99,tt3554938,,
Venom,Movie,2018-10-5,6720,Action,,35,6.6,500462,tt1270797,100000000,856085151
A Star Is Born,Movie,2018-10-5,8160,Drama,7,88,7.6,395248,tt1517451,36000000,436233122
The Happy Prince,Movie,2018-10-10,6300,Biography,,64,6.2,5522,tt2404639,,2621992
First Man,Movie,2018-10-12,8460,Biography,3,84,7.3,192956,tt1213641,59000000,105713218
Bad Times at the El Royale,Movie,2018-10-12,8460,Crime,,60,7.1,155150,tt6628394,32000000,31882724
Beautiful Boy,Movie,2018-10-25,7200,Biography,1,62,7.3,84837,tt1226837,25000000,31711319
The Oath,Movie,2018-10-19,5580,Comedy,,58,5.6,4838,tt7461200,,403852
Gosnell: The Trial of America's Biggest Serial Killer,Movie,2018-10-12,5580,Crime,,,6.5,4650,tt3722234,,3679893
After Everything,Movie,2018-10-12,5700,Comedy,,67,6.4,1808,tt6688022,,2222
Halloween,Movie,1978-10-27,5460,Horror,,87,7.7,287257,tt0077651,325000,47160000
The Hate U Give,Movie,2018-10-19,7980,Crime,,81,7.5,37820,tt5580266,23000000,34934009
Can You Ever Forgive Me?,Movie,2018-11-2,6360,Biography,3,87,7.1,53888,tt4595882,10000000,12442161
Mid90s,Movie,2018-10-26,5100,Comedy,,66,7.3,70011,tt5613484,1700000,9303022
Wildlife,Movie,2019-1-1,6300,Drama,,80,6.8,29930,tt5929754,,3321367
What They Had,Movie,2018-11-29,6060,Drama,,69,6.7,4489,tt6662736,,533579
Hunter Killer,Movie,2018-10-26,7260,Action,,43,6.6,66474,tt1846589,40000000,31676128
Johnny English Strikes Again,Movie,2018-10-26,5340,Action,,39,6.2,77122,tt6921996,25000000,158972499
Suspiria,Movie,1977-8-12,5520,Horror,,79,7.3,97707,tt0076786,,21760
Indivisible,Movie,2016-9-29,6000,Drama,,80,6.9,1356,tt5259496,,310797
Bullitt County,Movie,2018-10-26,5880,Action,,50,4.7,562,tt6140148,,11257
Bohemian Rhapsody,Movie,2018-11-2,8040,Biography,1,49,7.9,552213,tt1727824,52000000,910809311
The Nutcracker and the Four Realms,Movie,2018-11-2,5940,Adventure,,39,5.6,35241,tt5523010,120000000,173961069
Nobody's Fool,Movie,1995-1-13,6600,Comedy,2,86,7.3,21529,tt0110684,20000000,39491975
Boy Erased,Movie,2018-11-8,6900,Biography,,69,6.9,40108,tt7008872,11000000,11853081
A Private War,Movie,2018-11-16,6600,Biography,,75,6.7,20072,tt2368254,18800000,3915207
Bodied,Movie,2018-11-2,7200,Comedy,,75,7.1,5834,tt5883570,,113956
The Front Runner,Movie,2018-11-21,6780,Biography,,61,6.1,13679,tt7074886,,3242235
The Grinch,Movie,2018-11-9,5100,Animation,,51,6.4,77556,tt2709692,75000000,526760632
The Girl in the Spider's Web,Movie,2018-11-9,6900,Action,,43,6.1,49252,tt5177088,43000000,35164920
Overlord,Movie,2018-11-9,6600,Action,,60,6.6,102079,tt4530422,38000000,41657844
The Ballad of Buster Scruggs,Movie,2018-11-9,7980,Comedy,3,79,7.3,154283,tt6412452,,
Lazer Team 2,Movie,2017-11-13,5160,Action,,,6.4,3569,tt6730898,,19988
Conundrum: Secrets Among Friends,Movie,2023-12-29,6720,Drama,,,,0,tt7251692,6000000,
Fantastic Beasts: The Crimes of Grindelwald,Movie,2018-11-16,8040,Adventure,2,52,6.5,291815,tt4123430,200000000,654855901
Widows,Movie,2018-11-16,7740,Crime,1,84,6.8,100410,tt4218572,42000000,75984700
Green Book,Movie,2018-11-16,7800,Biography,2,69,8.2,512922,tt6966692,23000000,321752656
Instant Family,Movie,2018-11-16,7080,Comedy,,57,7.3,111124,tt7401588,48000000,120989656
Ralph Breaks the Internet,Movie,2018-11-23,6720,Animation,1,71,7.0,167995,tt5848272,175000000,529323962
Creed II,Movie,2018-11-21,7800,Action,,66,7.1,141781,tt6343314,50000000,214215889
Robin Hood,Movie,2010-5-14,8400,Action,,53,6.6,274330,tt0955308,200000000,321669741
Roma,Movie,2018-12-14,8100,Drama,7,96,7.7,162840,tt6155172,,1140769
The Favourite,Movie,2018-12-21,7140,Biography,9,91,7.5,206734,tt5083738,15000000,95918706
Mowgli: Legend of the Jungle,Movie,2018-12-7,6240,Adventure,,51,6.5,63602,tt2388771,,
The Possession of Hannah Grace,Movie,2018-11-30,5160,Horror,,37,5.2,24081,tt5734576,7700000,43016528
Anna and the Apocalypse,Movie,2018-11-30,5580,Comedy,,63,6.0,14393,tt6433880,,673523
Capernaum,Movie,2018-9-20,7560,Drama,1,75,8.4,93927,tt8267604,4000000,64417003
The Cabin,Movie,2018-12-4,5160,Horror,,,2.8,599,tt5963066,,
Mary Queen of Scots,Movie,2018-12-21,7440,Biography,2,60,6.3,52440,tt2328900,25000000,46712809
Ben Is Back,Movie,2018-12-5,6180,Drama,,66,6.7,22925,tt7545524,13000000,10134204
